din_instante,generation
2022-01-01 00:00:00,0.0
2022-01-01 01:00:00,0.0
2022-01-01 02:00:00,0.0
2022-01-01 03:00:00,0.0
2022-01-01 04:00:00,0.0
2022-01-01 05:00:00,0.51
2022-01-01 06:00:00,3.843
2022-01-01 07:00:00,9.012
2022-01-01 08:00:00,30.714
2022-01-01 09:00:00,37.578
2022-01-01 10:00:00,34.273
2022-01-01 11:00:00,42.494
2022-01-01 12:00:00,33.528
2022-01-01 13:00:00,24.212
2022-01-01 14:00:00,30.202
2022-01-01 15:00:00,18.444
2022-01-01 16:00:00,7.757
2022-01-01 17:00:00,5.097
2022-01-01 18:00:00,0.245
2022-01-01 19:00:00,0.0
2022-01-01 20:00:00,0.0
2022-01-01 21:00:00,0.0
2022-01-01 22:00:00,0.0
2022-01-01 23:00:00,0.0
2022-01-02 00:00:00,0.0
2022-01-02 01:00:00,0.0
2022-01-02 02:00:00,0.0
2022-01-02 03:00:00,0.0
2022-01-02 04:00:00,0.0
2022-01-02 05:00:00,0.005
2022-01-02 06:00:00,0.623
2022-01-02 07:00:00,0.271
2022-01-02 08:00:00,0.512
2022-01-02 09:00:00,2.896
2022-01-02 10:00:00,9.538
2022-01-02 11:00:00,15.375
2022-01-02 12:00:00,26.121
2022-01-02 13:00:00,25.561
2022-01-02 14:00:00,40.882
2022-01-02 15:00:00,42.785
2022-01-02 16:00:00,31.125
2022-01-02 17:00:00,5.759
2022-01-02 18:00:00,0.158
2022-01-02 19:00:00,0.0
2022-01-02 20:00:00,0.0
2022-01-02 21:00:00,0.0
2022-01-02 22:00:00,0.0
2022-01-02 23:00:00,0.0
2022-01-03 00:00:00,0.0
2022-01-03 01:00:00,0.0
2022-01-03 02:00:00,0.0
2022-01-03 03:00:00,0.0
2022-01-03 04:00:00,0.0
2022-01-03 05:00:00,0.232
2022-01-03 06:00:00,6.138
2022-01-03 07:00:00,21.568
2022-01-03 08:00:00,26.022
2022-01-03 09:00:00,12.864
2022-01-03 10:00:00,8.052
2022-01-03 11:00:00,10.835
2022-01-03 12:00:00,42.111
2022-01-03 13:00:00,42.34
2022-01-03 14:00:00,40.815
2022-01-03 15:00:00,14.651
2022-01-03 16:00:00,1.502
2022-01-03 17:00:00,0.358
2022-01-03 18:00:00,0.0
2022-01-03 19:00:00,0.0
2022-01-03 20:00:00,0.0
2022-01-03 21:00:00,0.0
2022-01-03 22:00:00,0.0
2022-01-03 23:00:00,0.0
2022-01-04 00:00:00,0.0
2022-01-04 01:00:00,0.0
2022-01-04 02:00:00,0.0
2022-01-04 03:00:00,0.0
2022-01-04 04:00:00,0.0
2022-01-04 05:00:00,0.411
2022-01-04 06:00:00,4.943
2022-01-04 07:00:00,11.503
2022-01-04 08:00:00,25.266
2022-01-04 09:00:00,31.904
2022-01-04 10:00:00,34.708
2022-01-04 11:00:00,38.931
2022-01-04 12:00:00,29.732
2022-01-04 13:00:00,41.023
2022-01-04 14:00:00,27.131
2022-01-04 15:00:00,24.287
2022-01-04 16:00:00,15.286
2022-01-04 17:00:00,2.599
2022-01-04 18:00:00,0.071
2022-01-04 19:00:00,0.0
2022-01-04 20:00:00,0.0
2022-01-04 21:00:00,0.0
2022-01-04 22:00:00,0.0
2022-01-04 23:00:00,0.0
2022-01-05 00:00:00,0.0
2022-01-05 01:00:00,0.0
2022-01-05 02:00:00,0.0
2022-01-05 03:00:00,0.0
2022-01-05 04:00:00,0.0
2022-01-05 05:00:00,0.372
2022-01-05 06:00:00,8.029
2022-01-05 07:00:00,31.852
2022-01-05 08:00:00,39.458
2022-01-05 09:00:00,36.314
2022-01-05 10:00:00,30.28
2022-01-05 11:00:00,32.395
2022-01-05 12:00:00,42.554
2022-01-05 13:00:00,34.379
2022-01-05 14:00:00,38.241
2022-01-05 15:00:00,21.577
2022-01-05 16:00:00,20.76
2022-01-05 17:00:00,10.697
